name,description,active,address,cate_ids,category_id,comment,created_at,created_by,email,fb_url,inactive,is_api,is_banner,is_logo,is_trending,last_updated,layout_position,logo_url,merchant_id,modify_by,network_id,parent_category_name,phone,slug,status,store_id,store_summary,total_coupons,total_views,tracking_url,twitter_url,updated_at,website_url,youtube
Bluefin Sup,,,,30,30,Closed,2024-01-04T05:23:12.000Z,adminx,,,,,,1,,2024-09-01T19:00:00.000Z,0,bluefin-sup.webp,96316,adminx,3,Accessories,,bluefin-sup,enable,9394,,58,1098,bluefinsupboards.com,,,bluefinsupboards.com,
Lane Bryant,,,,1,1,US,2023-02-11T07:27:10.000Z,adminx,,,1,,,1,,2025-05-20T19:00:00.000Z,0,lane-bryant.webp,38549,adminx,3,Fashion,,lane-bryant,enable,6376,,42,635,http://www.lanebryant.com/,,2025-07-05T09:40:51.000Z,http://www.lanebryant.com/,
Belk US,,,,1,1,,2025-06-05T02:10:45.000Z,adminx,,,,,,1,,2025-05-19T19:00:00.000Z,0,belk-us.webp,87156,adminx,3,Fashion,,belk-us,enable,13189,,39,756,https://www.belk.com/,,2025-07-05T05:53:24.000Z,https://www.belk.com/,
Bed Bath & Beyond,,,,20,20,,,adminx,,,,,,1,,2025-05-20T19:00:00.000Z,0,bed-bath-and-beyond.webp,85476,adminx,3,Home & Garden,,bed-bath-and-beyond,enable,8729,,37,653,https://www.bedbathandbeyond.com/,,2025-07-05T04:48:33.000Z,https://www.bedbathandbeyond.com/,
Lands' End,,,,1,1,,,adminx,,,,,,1,,2025-05-19T19:00:00.000Z,0,landsend.webp,63793,,3,Fashion,,landsend,enable,10027,,36,457,https://www.landsend.com/,,,https://www.landsend.com/,
32 Degrees,,,,1,1,Update,,adminx,,,1,,,1,,2025-05-22T19:00:00.000Z,0,32degrees.webp,161363,adminx,3,Fashion,,32degrees,enable,10025,,29,819,https://32degrees.com,,2025-06-03T12:52:58.000Z,https://32degrees.com,
Ann Summers UK,"<h4> Ann Summers Unlocking Savings and Enhancing Shopping Experience</h4>


<p>Ann Summers, a renowned retailer offering a diverse range of intimate products, has embarked on a collaboration with Wesavecart, a leading platform for discounted coupons, deals, and vouchers. This partnership aims to revolutionize the shopping experience for customers, providing exclusive offers and seamless navigation through a wide array of products. </p>

<h5> History of Ann Summers</h5>

<p>From its humble beginnings in 1972, Ann Summers has evolved into a powerhouse in the intimate apparel industry. With a commitment to innovation and empowerment, the brand has continuously expanded its product range to cater to diverse preferences and lifestyles. </p>

<h5>Product Range</h5>

<p>Ann Summers boasts an extensive collection of lingerie, adult toys, accessories, and more, catering to individuals of all tastes and desires. From classic designs to bold statement pieces, there's something for everyone at Ann Summers. </p>

<h5>Quality Assurance</h5>

<p>At Ann Summers, quality is paramount. Each product undergoes rigorous testing to ensure superior craftsmanship and durability, providing customers with confidence and satisfaction in their purchases. </p>

<h5>Collaborative Efforts</h5>

<p>The collaboration between Ann Summers and Wesavecart offers numerous benefits for shoppers. By combining Ann Summers' premium products with Wesavecart's exclusive deals and coupons, customers can enjoy unparalleled savings and value. </p>

<h5>Exclusive Deals and Coupons</h5>

<p>Through the partnership with Wesavecart, customers gain access to exclusive discounts and coupons, allowing them to enjoy their favorite Ann Summers products at unbeatable prices. From lingerie sets to intimate accessories, there's no shortage of savings to be found. </p>

<h5>Shopping Experience</h5>

<p>Navigating the Ann Summers website via Wesavecart is a breeze, with intuitive features and seamless integration. Customers can easily browse through the extensive product catalogue, apply discounts, and complete their purchases with ease. </p>

<h5>Customer Reviews</h5>

<p>The collaboration between Ann Summers and Wesavecart has garnered praise from customers worldwide. Positive testimonials highlight the convenience of accessing exclusive deals and the exceptional quality of Ann Summers products. </p>

 <h5>Social Media Presence</h5>

<p>Both Ann Summers and Wesavecart maintain a strong presence on social media platforms, engaging with customers and providing valuable insights into the latest trends and offerings. Follow them for updates, promotions, and more! </p>

<h5>Conclusion</h5>

<p>The collaboration between Ann Summers and Wesavecart marks a significant milestone in the realm of online shopping. By combining premium products with exclusive deals and seamless navigation, customers can enjoy unparalleled savings and satisfaction. Experience the difference today and unlock a world of possibilities with Ann Summers and Wesavecart. </p>
",,,42,42,GB,,adminx,,,,,,1,,2024-11-21T19:00:00.000Z,0,annsummers-com.webp,10147,adminx,3,Adult,,annsummers-com,enable,4055,,32,927,https://www.annsummers.com,,,https://www.annsummers.com,
Coofandy,,,,1,1,Online,,adminx,,,,,,1,,2025-05-21T19:00:00.000Z,0,coofandy.webp,119443,adminx,3,Fashion,,coofandy,enable,8570,,36,538,https://www.ekouaer.com/,,2025-06-05T04:14:47.000Z,https://www.ekouaer.com/,
Beginning Boutique US,,,,1,1,,,adminx,,,1,,,1,,2025-05-01T19:00:00.000Z,0,beginning-boutique.webp,678354151,adminx,3,Fashion,,beginning-boutique-us,enable,9990,,27,726,beginningboutique.com,,2024-03-07T07:13:14.000Z,beginningboutique.com,
Dresslily,,,,1,1,Closed,,adminx,,,,,,1,,2024-12-29T19:00:00.000Z,0,dresslily.webp,56695,adminx,3,Fashion,,dresslily,enable,4284,,28,454,dresslily.com,,,dresslily.com,
