Store Id,Store Name,Slug,Merchant Id,Network Id,Store Logo,Store Display Url,Store Summary,Store Description,Tracking Url,Cate Ids,Comment,Address,Phone,Email,Fb Url,Twitter Url,Youtube,Gplus,Is Featured,Store Priority,Status,Created Date,Created By,Modify Date,Modify By,Is Logo,Parent Category Id,Parent Category Name,Store Banner,Is Banner,Total Views,Total Coupons,Active,Inactive,Last Updated,Is API
9394,Bluefin Sup,bluefin-sup,96316,3,bluefin-sup.webp,bluefinsupboards.com,,,bluefinsupboards.com,30,Closed,,,,,,,,no,0,enable,01-04-2024 10:23:12,adminx,19-12-2024 13:25:23,adminx,YES,30,Accessories,,NO,1098,58,56,2,02-September-2024,NO
6376,Lane Bryant,lane-bryant,38549,3,lane-bryant.webp,http://www.lanebryant.com/,,,http://www.lanebryant.com/,1,US,,,,,,,,no,0,enable,02-11-2023 12:27:10,adminx,07-05-2025 14:40:51,adminx,YES,1,Fashion,,NO,635,42,41,1,21-May-2025,NO
13189,Belk US,belk-us,87156,3,belk-us.webp,https://www.belk.com/,,,https://www.belk.com/,1,,,,,,,,,,0,enable,06-05-2025 07:10:45,adminx,07-05-2025 10:53:24,adminx,YES,1,Fashion,,NO,756,39,36,3,20-May-2025,NO
8729,Bed Bath & Beyond,bed-bath-and-beyond,85476,3,bed-bath-and-beyond.webp,https://www.bedbathandbeyond.com/,,,https://www.bedbathandbeyond.com/,20,,,,,,,,,,0,enable,29-02-2024 14:35:40,adminx,07-05-2025 09:48:33,adminx,YES,20,Home & Garden,,NO,653,37,34,3,21-May-2025,NO
10027,Lands' End,landsend,63793,3,landsend.webp,https://www.landsend.com/,,,https://www.landsend.com/,1,,,,,,,,,,0,enable,26-07-2024 14:19:26,adminx,,,YES,1,Fashion,,NO,457,36,33,3,20-May-2025,NO
10025,32 Degrees,32degrees,161363,3,32degrees.webp,https://32degrees.com,,,https://32degrees.com,1,Update,,,,,,,,,0,enable,26-07-2024 14:16:18,adminx,06-03-2025 17:52:58,adminx,YES,1,Fashion,,NO,819,29,28,1,23-May-2025,NO
4055,Ann Summers UK,annsummers-com,10147,3,annsummers-com.webp,https://www.annsummers.com,,"<h4> Ann Summers Unlocking Savings and Enhancing Shopping Experience</h4>


<p>Ann Summers, a renowned retailer offering a diverse range of intimate products, has embarked on a collaboration with Wesavecart, a leading platform for discounted coupons, deals, and vouchers. This partnership aims to revolutionize the shopping experience for customers, providing exclusive offers and seamless navigation through a wide array of products. </p>

<h5> History of Ann Summers</h5>

<p>From its humble beginnings in 1972, Ann Summers has evolved into a powerhouse in the intimate apparel industry. With a commitment to innovation and empowerment, the brand has continuously expanded its product range to cater to diverse preferences and lifestyles. </p>

<h5>Product Range</h5>

<p>Ann Summers boasts an extensive collection of lingerie, adult toys, accessories, and more, catering to individuals of all tastes and desires. From classic designs to bold statement pieces, there's something for everyone at Ann Summers. </p>

<h5>Quality Assurance</h5>

<p>At Ann Summers, quality is paramount. Each product undergoes rigorous testing to ensure superior craftsmanship and durability, providing customers with confidence and satisfaction in their purchases. </p>

<h5>Collaborative Efforts</h5>

<p>The collaboration between Ann Summers and Wesavecart offers numerous benefits for shoppers. By combining Ann Summers' premium products with Wesavecart's exclusive deals and coupons, customers can enjoy unparalleled savings and value. </p>

<h5>Exclusive Deals and Coupons</h5>

<p>Through the partnership with Wesavecart, customers gain access to exclusive discounts and coupons, allowing them to enjoy their favorite Ann Summers products at unbeatable prices. From lingerie sets to intimate accessories, there's no shortage of savings to be found. </p>

<h5>Shopping Experience</h5>

<p>Navigating the Ann Summers website via Wesavecart is a breeze, with intuitive features and seamless integration. Customers can easily browse through the extensive product catalogue, apply discounts, and complete their purchases with ease. </p>

<h5>Customer Reviews</h5>

<p>The collaboration between Ann Summers and Wesavecart has garnered praise from customers worldwide. Positive testimonials highlight the convenience of accessing exclusive deals and the exceptional quality of Ann Summers products. </p>

 <h5>Social Media Presence</h5>

<p>Both Ann Summers and Wesavecart maintain a strong presence on social media platforms, engaging with customers and providing valuable insights into the latest trends and offerings. Follow them for updates, promotions, and more! </p>

<h5>Conclusion</h5>

<p>The collaboration between Ann Summers and Wesavecart marks a significant milestone in the realm of online shopping. By combining premium products with exclusive deals and seamless navigation, customers can enjoy unparalleled savings and satisfaction. Experience the difference today and unlock a world of possibilities with Ann Summers and Wesavecart. </p>
",https://www.annsummers.com,42,GB,,,,,,,,no,0,enable,14-06-2023 10:01:43,adminx,18-03-2025 22:19:56,adminx,YES,42,Adult,,NO,927,32,28,4,22-November-2024,NO
8570,Coofandy,coofandy,119443,3,coofandy.webp,https://www.ekouaer.com/,,,https://www.ekouaer.com/,1,Online,,,,,,,,,0,enable,19-02-2024 09:37:18,adminx,06-05-2025 09:14:47,adminx,YES,1,Fashion,,NO,538,36,27,9,22-May-2025,NO
9990,Beginning Boutique US,beginning-boutique-us,678354151,3,beginning-boutique.webp,beginningboutique.com,,,beginningboutique.com,1,,,,,,,,,,0,enable,28-06-2024 14:56:55,adminx,03-07-2024 12:13:14,adminx,YES,1,Fashion,,NO,726,27,26,1,02-May-2025,NO
4284,Dresslily,dresslily,56695,3,dresslily.webp,dresslily.com,,,dresslily.com,1,Closed,,,,,,,,no,0,enable,26-06-2023 11:40:03,adminx,19-12-2024 13:25:23,adminx,YES,1,Fashion,,NO,454,28,26,2,30-December-2024,NO
10729,Pictures On Gold US,pictures-on-gold-us,123026,3,pictures-on-gold-us.webp,https://picturesongold.com,,,https://picturesongold.com,21,,,,,,,,,no,0,enable,10-01-2025 15:10:44,adminx,,,YES,21,Gifts,,NO,298,25,25,0,26-February-2025,NO
13203,Saks Off 5TH US,saksoff5th-us,87954,3,saksoff5th-us.webp,https://www.saksoff5th.com/,,,https://www.saksoff5th.com/,1,,,,,,,,,,0,enable,08-05-2025 06:33:17,adminx,,,YES,1,Fashion,,NO,601,31,24,7,22-May-2025,NO
4513,Menkind UK,menkind-uk,106180,3,menkind-uk.webp,https://menkind.co.uk,,"<h2>Elevate Your Style with Exclusive Deals and Promo Codes</h2>

<p>Welcome to WeSaveCart, your one-stop destination for all things fashion! In this comprehensive guide, we'll explore the world of men's fashion, providing valuable insights and exclusive deals to help you enhance your wardrobe without breaking the bank. Whether you're a seasoned fashionista or just dipping your toes into the world of style, we've got you covered. </p>

<h3> Elevate Your Style with WeSaveCart Deals</h3>
<p>Discover the latest trends and timeless classics in men's fashion at unbeatable prices. From stylish apparel to must-have accessories, WeSaveCart offers a curated selection of products to suit every taste and budget. With our exclusive deals and promo codes, you can shop with confidence, knowing that you're getting the best value for your money. </p>

<h3>  Explore Trendy Apparel</h3>
<p>From casual tees to sophisticated suits, explore a wide range of apparel options to suit any occasion. Whether you're dressing for a day at the office or a night out on the town, WeSaveCart has the perfect outfit for you. With brands ranging from high-end designers to affordable essentials, finding your signature style has never been easier. </p>

<h3>  Accessorize Like a Pro</h3>
<p>Complete your look with our collection of stylish accessories, including watches, sunglasses, belts, and more. Elevate your outfit with the perfect finishing touch and make a lasting impression wherever you go. With WeSaveCart's exclusive deals, you can accessorize like a pro without breaking the bank. </p>

<h3>  Stay Ahead of the Trends</h3>
<p>At WeSaveCart, we're committed to keeping you up-to-date with the latest fashion trends. From seasonal must-haves to timeless classics, our team of experts scours the market to bring you the best of what's new and exciting in the world of men's fashion. With our insider knowledge and exclusive deals, you'll always be ahead of the curve. </p>

<strong> Conclusion</strong>
<p>Elevate your style and save big with WeSaveCart's exclusive deals and promo codes. Whether you're shopping for everyday essentials or special occasion attire, we've got everything you need to look and feel your best. Explore our collection today and take your wardrobe to the next level! </p>
",https://menkind.co.uk,21,Update,,,,,,,,no,0,enable,26-06-2023 11:40:03,adminx,31-10-2024 15:59:57,adminx,YES,21,Gifts,,NO,821,25,24,1,14-November-2024,NO
13179,Beginning Boutique NZ,beginning-boutique-nz,85642,3,beginning-boutique-nz.webp,https://www.beginningboutique.co.nz/,,,https://www.beginningboutique.co.nz/,1,,,,,,,,,,0,enable,02-05-2025 13:19:12,adminx,02-05-2025 13:19:42,adminx,YES,1,Fashion,,NO,322,23,23,0,02-May-2025,NO
10913,Farmacia Guacci IT,farmacia-guacci-it,64133,3,farmacia-guacci-it.webp,https://farmaciaguacci.it/,,,https://farmaciaguacci.it/,15,,,,,,,,,no,0,enable,18-04-2025 17:53:12,adminx,,,YES,15,Beauty,,NO,433,23,23,0,21-April-2025,NO
10405,Tyroola AU,tyroola-au,50326,3,tyroola-au.webp,https://www.tyroola.com.au/,,,https://www.tyroola.com.au/,29,,,,,,,,,,0,enable,09-09-2024 13:39:00,adminx,09-04-2025 14:09:34,adminx,YES,29,Automobile,,NO,830,24,23,1,15-April-2025,NO
5503,First Tactical,first-tactical,8892,3,first-tactical.webp,https://www.firsttactical.com,,,https://www.firsttactical.com,1,Move for PPC,,,,,,,,no,0,enable,14-09-2023 08:35:48,adminx,09-04-2025 10:33:42,adminx,YES,1,Fashion,,NO,446,23,23,0,09-April-2025,NO
4283,Geekbuying,geekbuying,15467,3,geekbuying.webp,https://geekbuying.com,,,https://geekbuying.com,20,US,,,,,,,,no,0,enable,26-06-2023 11:40:03,adminx,18-03-2025 22:19:56,adminx,YES,20,Home & Garden,,NO,190,26,23,3,30-December-2024,NO
10043,Columbia,columbia,11035,3,columbia.webp,https://www.columbia.com/,,,https://www.columbia.com/,1,,,,,,,,,,0,enable,26-07-2024 14:44:13,adminx,,,YES,1,Fashion,,NO,699,24,22,2,21-May-2025,NO
10339,Maurices US,maurices-us,161264,3,maurices-us.webp,https://maurices.com,,,https://maurices.com,1,Update,,,,,,,,no,0,enable,09-09-2024 12:18:00,adminx,31-10-2024 15:59:57,adminx,YES,1,Fashion,,NO,537,21,21,0,04-November-2024,NO
